dof_0,dof_1,dof_2,dof_3,dof_4,dof_5,dof_6,dof_7,dof_8,dof_9,dof_10,dof_11,dof_12,dof_13,dof_14,dof_15,dof_16,dof_17,dof_18,dof_19,dof_20,dof_21
0.0,0.001256637,0.19207287,-1.4538747,-0.0103546865,-0.48935482,0.19588757,1.4557922,-0.024927948,0.48782077,0.006675822,-0.005912871,-0.0032425423,0.104333565,-0.10272256,0.0042585046,-0.007820249,0.0028610667,-0.0032425423,0.10166323,-0.09520986,-0.001335155
0.0,0.001256637,0.19207287,-1.4538747,-0.0103546865,-0.48935482,0.19588757,1.4557922,-0.024927948,0.48782077,0.006675822,-0.005912871,-0.0032425423,0.104333565,-0.10272256,0.0042585046,-0.007820249,0.0028610667,-0.0032425423,0.10166323,-0.09520986,-0.001335155
0.0,0.001256637,0.19207287,-1.4534912,-0.0103546865,-0.48935482,0.19588757,1.4554087,-0.024927948,0.48782077,0.006675822,-0.005912871,-0.0032425423,0.104715034,-0.10272256,0.0042585046,-0.007820249,0.0028610667,-0.0032425423,0.10166323,-0.09520986,-0.001335155
0.0,0.001256637,0.19207287,-1.4534912,-0.0103546865,-0.48935482,0.19588757,1.4554087,-0.024927948,0.48782077,0.006675822,-0.005912871,-0.0032425423,0.104715034,-0.10272256,0.0042585046,-0.007820249,0.0028610667,-0.0032425423,0.10166323,-0.09520986,-0.001335155
0.0,0.001256637,0.19207287,-1.4534912,-0.0103546865,-0.48935482,0.19588757,1.4557922,-0.024927948,0.48782077,0.006675822,-0.005912871,-0.0032425423,0.104715034,-0.10272256,0.0042585046,-0.007820249,0.0028610667,-0.0032425423,0.10166323,-0.09520986,-0.001335155
0.0,0.001256637,0.19207287,-1.4534912,-0.0103546865,-0.48935482,0.19588757,1.4557922,-0.024927948,0.48782077,0.006675822,-0.005912871,-0.0032425423,0.104333565,-0.10272256,0.0042585046,-0.007820249,0.0028610667,-0.0032425423,0.10166323,-0.09520986,-0.001335155
0.0,0.001256637,0.19207287,-1.4534912,-0.0103546865,-0.48935482,0.19588757,1.4554087,-0.024927948,0.48782077,0.006675822,-0.005912871,-0.0032425423,0.104715034,-0.10272256,0.0042585046,-0.007820249,0.0028610667,-0.0032425423,0.10166323,-0.09520986,-0.001335155
0.0,0.001256637,0.19207287,-1.4534912,-0.0103546865,-0.48935482,0.19588757,1.4557922,-0.024927948,0.48782077,0.006675822,-0.005912871,-0.0032425423,0.104333565,-0.10272256,0.0042585046,-0.007820249,0.0028610667,-0.0032425423,0.10166323,-0.09520986,-0.001335155
0.0,0.001256637,0.19207287,-1.4534912,-0.0103546865,-0.48935482,0.19588757,1.4557922,-0.024927948,0.48782077,0.006675822,-0.005912871,-0.0032425423,0.104333565,-0.10272256,0.0042585046,-0.007820249,0.0028610667,-0.0032425423,0.10166323,-0.09520986,-0.001335155
0.0,0.001256637,0.19207287,-1.4534912,-0.0103546865,-0.48935482,0.19588757,1.4557922,-0.024927948,0.48782077,0.006675822,-0.005912871,-0.0032425423,0.104333565,-0.10272256,0.0042585046,-0.007820249,0.0028610667,-0.0032425423,0.10166323,-0.09520986,-0.001335155
0.0,0.001256637,0.19207287,-1.4534912,-0.0103546865,-0.48935482,0.19588757,1.4554087,-0.024927948,0.48782077,0.006675822,-0.005912871,-0.0032425423,0.104715034,-0.10272256,0.0042585046,-0.008201724,0.0028610667,-0.0032425423,0.10166323,-0.09520986,-0.001335155
