dof_0,dof_1,dof_2,dof_3,dof_4,dof_5,dof_6,dof_7,dof_8,dof_9,dof_10,dof_11,dof_12,dof_13,dof_14,dof_15,dof_16,dof_17,dof_18,dof_19,dof_20,dof_21,gyro0,gyro1,gyro2,rpy0,rpy1,rpy2,time
0.0,0.0,0.1916913986206054,-1.4531075954437256,-0.0092041660100221,-0.4901218116283417,0.1993207931518554,1.4550251960754397,0.0076701380312442,0.4893548190593719,0.0005722133209928,-0.0082017239183187,-0.0009536888683214,0.1031891331076622,-0.0976093038916587,0.0031142418738454,0.0009536888683214,0.0043869689106941,0.0001907377736642,0.1054779887199401,-0.0980094447731971,-0.0059921825304627,-0.0003913931723218,0.0012695405166596,-0.002336336299777,0.0069074220955371,0.0193722695112228,1.0095614194869995,4600
0.0,0.0,0.1916913986206054,-1.4531075954437256,-0.0092041660100221,-0.4901218116283417,0.1993207931518554,1.4550251960754397,0.0076701380312442,0.4889712929725647,0.0005722133209928,-0.0082017239183187,-0.0009536888683214,0.1031891331076622,-0.0978146493434906,0.0027194654103368,0.0009536888683214,0.0043869689106941,0.0005722133209928,0.1054779887199401,-0.0980094447731971,-0.0059921825304627,0.0012639169581234,0.0011638558935374,-0.004290104843676,0.0068839751183986,0.0193915497511625,1.0094521045684814,4601
0.0,0.0,0.1916913986206054,-1.4531075954437256,-0.0092041660100221,-0.4901218116283417,0.1993207931518554,1.4550251960754397,0.0076701380312442,0.4889712929725647,0.0005722133209928,-0.0082017239183187,-0.0009536888683214,0.1031891331076622,-0.0978147462010383,0.0027197871822863,0.0009536888683214,0.0043869689106941,0.0005722133209928,0.1054779887199401,-0.0980094447731971,-0.0059921825304627,0.0013915549498051,0.0010782718891277,-0.0032391985878348,0.0068865185603499,0.01939208060503,1.009452223777771,4602
0.0,0.0,0.1916913986206054,-1.4531075954437256,-0.0092041660100221,-0.4901218116283417,0.1993207931518554,1.4550251960754397,0.0076701380312442,0.4889712929725647,0.0005722133209928,-0.0082017239183187,-0.0009536888683214,0.1031891331076622,-0.097609207034111,0.0031139201018959,0.0009536888683214,0.0043869689106941,0.0005722133209928,0.1054779887199401,-0.0980094447731971,-0.0059921825304627,-0.0017024195985868,0.0009037891286425,-0.0022308290936052,0.0068445289507508,0.0194109454751014,1.0094079971313477,4603
0.0,0.0,0.1916913986206054,-1.4531075954437256,-0.0092041660100221,-0.4901218116283417,0.1993207931518554,1.4550251960754397,0.0076701380312442,0.4889712929725647,0.0005722133209928,-0.0082017239183187,-0.0009536888683214,0.1031891331076622,-0.0976093038916587,0.0031142418738454,0.0009536888683214,0.0043869689106941,0.0005722133209928,0.1054779887199401,-0.0980094447731971,-0.0059921825304627,-0.001139310770668,0.0003448927600402,-0.0019356480333954,0.006849174387753,0.0194074660539627,1.0094081163406372,4604
0.0,0.0,0.1916913986206054,-1.4531075954437256,-0.0092041660100221,-0.4901218116283417,0.1993207931518554,1.4550251960754397,0.0076701380312442,0.4889712929725647,0.0005722133209928,-0.0082017239183187,-0.0009536888683214,0.1031891331076622,-0.0978147462010383,0.0027197871822863,0.0009536888683214,0.0043869689106941,0.0005722133209928,0.1054779887199401,-0.0980094447731971,-0.0059921825304627,-6.696529453620315e-05,-0.0005337033071555,-0.0003168501134496,0.0068684048019349,0.0194091740995645,1.0093878507614136,4605
0.0,0.0,0.1916913986206054,-1.4531075954437256,-0.0092041660100221,-0.4901218116283417,0.1993207931518554,1.4550251960754397,0.0076701380312442,0.4889712929725647,0.0005722133209928,-0.0082017239183187,-0.0009536888683214,0.1031891331076622,-0.0978147462010383,0.0027197871822863,0.0009536888683214,0.0043869689106941,0.0005722133209928,0.1054779887199401,-0.0980094447731971,-0.0059921825304627,-0.0004112895985599,-0.0001891620631795,-0.0003827162436209,0.0068640694953501,0.0194105673581361,1.0093891620635986,4606
0.0,0.0,0.1916913986206054,-1.4531075954437256,-0.0092041660100221,-0.4901218116283417,0.1993207931518554,1.4550251960754397,0.0076701380312442,0.4893548190593719,0.0005722133209928,-0.0082017239183187,-0.0009536888683214,0.1031891331076622,-0.0978147462010383,0.0027197871822863,0.0009536888683214,0.0043869689106941,0.0005722133209928,0.1054779887199401,-0.0980094447731971,-0.0059921825304627,0.001636674744077,-2.297972241649404e-05,0.0005199911538511,0.006888038944453,0.0194164495915174,1.0093955993652344,4607
0.0,0.0,0.1916913986206054,-1.4531075954437256,-0.0092041660100221,-0.4901218116283417,0.1993207931518554,1.4550251960754397,0.0076701380312442,0.4889712929725647,0.0005722133209928,-0.0082017239183187,-0.0009536888683214,0.1031891331076622,-0.097609207034111,0.0031139201018959,0.0009536888683214,0.0043869689106941,0.0005722133209928,0.1054779887199401,-0.0980094447731971,-0.0059921825304627,0.0008903886773623,0.0010651119519025,0.0008701877086423,0.0068850722163915,0.0194315444678068,1.0094093084335327,4608
0.0,0.0,0.1916913986206054,-1.4531075954437256,-0.0092041660100221,-0.4901218116283417,0.1993207931518554,1.4550251960754397,0.0076701380312442,0.4889712929725647,0.0005722133209928,-0.0082017239183187,-0.0009536888683214,0.1031891331076622,-0.097609207034111,0.0031139205675572,0.0009536888683214,0.0043869689106941,0.0005722133209928,0.1054779887199401,-0.0980094447731971,-0.0059921825304627,0.0001896530593512,-0.0001075735126505,2.210239290434401e-05,0.0068761268630623,0.0194222759455442,1.009408473968506,4609
